route_id,airline_id,source_airport_id,destination_airport_id,codeshare,stops
649,4608,3385,3379,,0
650,4608,9311,4097,,0
651,4608,9311,3379,,0
652,4608,4120,3393,,0
653,4608,4120,3395,,0
654,4608,4120,3386,,0
655,4608,4120,3387,,0
656,4608,4120,6355,,0
657,4608,8407,3395,,0
658,4608,6345,3395,,0
659,4608,3389,3395,,0
660,4608,3386,3375,,0
661,4608,3386,3393,,0
662,4608,3386,3395,,0
663,4608,3386,3404,,0
664,4608,3386,4120,,0
665,4608,3386,3394,,0
666,4608,3386,3368,,0
667,4608,3386,3369,,0
668,4608,3077,3395,,0
669,4608,3077,6361,,0
670,4608,3077,6357,,0
671,4608,3179,3393,,0
672,4608,3179,3395,,0
673,4608,3400,3375,,0
674,4608,3400,4109,,0
675,4608,3400,3404,,0
676,4608,3400,4085,,0
677,4608,3400,3387,,0
678,4608,3400,3388,,0
679,4608,3400,6954,,0
680,4608,3400,6347,,0
681,4608,3400,4108,,0
682,4608,3400,3368,,0
683,4608,3400,6392,,0
684,4608,3400,3376,,0
685,4608,3400,3379,,0
686,4608,3400,4149,,0
687,4608,3930,3395,,0
688,4608,4085,3393,,0
689,4608,4085,3395,,0
690,4608,4085,3400,,0
691,4608,4085,3372,,0
692,4608,6432,3378,,0
693,4608,3381,3395,,0
694,4608,3381,3382,,0
695,4608,8781,3395,,0
696,4608,6386,3394,,0
697,4608,6386,3376,,0
698,4608,4301,3395,,0
699,4608,3397,3399,,0
700,4608,3384,3393,,0
701,4608,3384,3395,,0
702,4608,3384,3382,,0
703,4608,3384,3387,,0
704,4608,3382,3375,,0
705,4608,3382,3393,,0
706,4608,3382,3371,,0
707,4608,3382,3395,,0
708,4608,3382,3381,,0
709,4608,3382,3384,,0
710,4608,3382,3394,,0
711,4608,3382,6376,,0
712,4608,3382,3387,,0
713,4608,3382,3388,,0
714,4608,3382,3390,,0
715,4608,3382,4108,,0
716,4608,3382,2276,,0
717,4608,3382,6403,,0
718,4608,3382,3379,,0
719,4608,3382,3383,,0
720,4608,3382,4149,,0
721,4608,6379,3395,,0
722,4608,6379,3383,,0
723,4608,3394,3395,,0
724,4608,3394,3386,,0
725,4608,3394,6386,,0
726,4608,3394,3382,,0
727,4608,3394,3378,,0
728,4608,3394,4030,,0
729,4608,3394,6392,,0
730,4608,3394,4149,,0
731,4608,3372,4085,,0
732,4608,3372,6347,,0
733,4608,3372,4030,,0
734,4608,3378,3393,,0
735,4608,3378,3395,,0
736,4608,3378,4308,,0
737,4608,3378,6432,,0
738,4608,3378,3394,,0
739,4608,3378,3368,,0
740,4608,4033,3393,,0
741,4608,4033,3395,,0
742,4608,4033,6400,,0
743,4608,6376,3395,,0
744,4608,6376,3382,,0
745,4608,4097,3393,,0
746,4608,4097,3395,,0
747,4608,4097,9311,,0
748,4608,4097,3379,,0
749,4608,4097,6366,,0
750,4608,6385,3379,,0
751,4608,6402,3395,,0
752,4608,3339,3395,,0
753,4608,6400,4033,,0
754,4608,6400,3388,,0
755,4608,6400,4030,,0
756,4608,6400,6366,,0
757,4608,3387,3393,,0
758,4608,3387,4120,,0
759,4608,3387,3400,,0
760,4608,3387,3384,,0
761,4608,3387,3382,,0
762,4608,3387,4144,,0
763,4608,3387,4030,,0
764,4608,3388,4380,,0
765,4608,3388,3393,,0
766,4608,3388,3395,,0
767,4608,3388,6353,,0
768,4608,3388,3400,,0
769,4608,3388,3382,,0
770,4608,3388,6400,,0
771,4608,3388,4030,,0
772,4608,3373,3393,,0
773,4608,3373,3395,,0
774,4608,3373,3205,,0
775,4608,3373,3376,,0
776,4608,6954,3400,,0
777,4608,3364,3393,,0
778,4608,3364,3395,,0
779,4608,3364,6403,,0
780,4608,3364,8043,,0
781,4608,3406,3393,,0
782,4608,3406,3395,,0
783,4608,3406,2244,,0
784,4608,6435,3393,,0
785,4608,6435,3395,,0
786,4608,3205,3373,,0
787,4608,4144,3371,,0
788,4608,4144,3395,,0
789,4608,4144,6434,,0
790,4608,4144,3387,,0
791,4608,4144,3369,,0
792,4608,4144,4149,,0
793,4608,4144,156,,0
794,4608,6347,3395,,0
795,4608,6347,3400,,0
796,4608,6347,3372,,0
797,4608,2244,3370,,0
798,4608,2244,3406,,0
799,4608,4302,3393,,0
800,4608,3361,3393,,0
801,4608,4030,3393,,0
802,4608,4030,3395,,0
803,4608,4030,3394,,0
804,4608,4030,3372,,0
805,4608,4030,6400,,0
806,4608,4030,3387,,0
807,4608,4030,3388,,0
808,4608,4030,4108,,0
809,4608,4030,6392,,0
810,4608,4030,4110,,0
811,4608,3374,3393,,0
812,4608,3374,3395,,0
813,4608,3374,6403,,0
814,4608,3390,3395,,0
815,4608,3390,3382,,0
816,4608,4108,4380,,0
817,4608,4108,3393,,0
818,4608,4108,3395,,0
819,4608,4108,3404,,0
820,4608,4108,3400,,0
821,4608,4108,3382,,0
822,4608,4108,4030,,0
823,4608,4108,3379,,0
824,4608,2276,3382,,0
825,4608,2275,3393,,0
826,4608,2275,3395,,0
827,4608,3368,4380,,0
828,4608,3368,3393,,0
829,4608,3368,3395,,0
830,4608,3368,3386,,0
831,4608,3368,3400,,0
832,4608,3368,3378,,0
833,4608,3369,3393,,0
834,4608,3369,3395,,0
835,4608,3369,6344,,0
836,4608,3369,3386,,0
837,4608,3369,4144,,0
838,4608,3399,3375,,0
839,4608,3399,3393,,0
840,4608,3399,3395,,0
841,4608,3399,3397,,0
842,4608,3399,3379,,0
843,4608,6368,3379,,0
844,4608,6392,3371,,0
845,4608,6392,3395,,0
846,4608,6392,3400,,0
847,4608,6392,3394,,0
848,4608,6392,4030,,0
849,4608,3376,3393,,0
850,4608,3376,3395,,0
851,4608,3376,3400,,0
852,4608,3376,6386,,0
853,4608,3376,3373,,0
854,4608,6390,3393,,0
855,4608,6390,3395,,0
856,4608,6403,3395,,0
857,4608,6403,3382,,0
858,4608,6403,3364,,0
859,4608,6403,3374,,0
860,4608,3396,3395,,0
861,4608,3379,6351,,0
862,4608,3379,3393,,0
863,4608,3379,3395,,0
864,4608,3379,3385,,0
865,4608,3379,9311,,0
866,4608,3379,3400,,0
867,4608,3379,3382,,0
868,4608,3379,4097,,0
869,4608,3379,6385,,0
870,4608,3379,4108,,0
871,4608,3379,3399,,0
872,4608,3379,6368,,0
873,4608,3379,3383,,0
874,4608,3379,6366,,0
875,4608,3379,4110,,0
876,4608,3383,3371,,0
877,4608,3383,3395,,0
878,4608,3383,4109,,0
879,4608,3383,3382,,0
880,4608,3383,6379,,0
881,4608,3383,3379,,0
882,4608,6366,3393,,0
883,4608,6366,3395,,0
884,4608,6366,4097,,0
885,4608,6366,6400,,0
886,4608,6366,3379,,0
887,4608,6366,8043,,0
888,4608,4149,3395,,0
889,4608,4149,3404,,0
890,4608,4149,3400,,0
891,4608,4149,3382,,0
